normalized_key,display_name,discipline_code,confidence,method,evidence,note
киняева а в,Киняева А. В.,ethnography,0.80,manual_title_review,«Женские голоса в каввали: гендер и традиции»,Каввали как исполнительская традиция; гендерный анализ.
вигель н л,Вигель Нарине Липаритовна,history_archaeology,0.80,manual_title_review,«Многообразие культурных традиций и влияний в средневековой Индии: от династий до социальных изменений»,История средневековой Индии.
мейтарчиян м б,Мейтарчиян Маргарита Борисовна,religious_studies,0.95,manual_title_review,«Зороастрийский культ огня и ритуалы парсов Индии»; «Священные зороастрийские тексты и переписка парсийских жрецов…»,Зороастризм парсов Индии.
светлов р в,Светлов Роман Викторович,philosophy,0.85,manual_title_review,«„Век Кроноса“ и „Сатья-юга“: два вида „первобытного коммунизма“ и античных теорий социогенеза»,Сопоставительная философия истории.
игнатова м м,Игнатова Мария Михайловна,ethnography,0.70,manual_title_review,«Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв»,Этнорелигиозное описание уйгуров. Не индийский материал; уверенность понижена.
денисенко в л,Денисенко Валерия Леонтьевна,sanskritology,0.80,manual_title_review,«„Юга-пурана“ как исторический источник»,«Юга-пурана» — санскритский текст.
денисенко в л,Денисенко Валерия Леонтьевна,history_archaeology,0.70,manual_title_review,«„Юга-пурана“ как исторический источник»,Пурана рассматривается как исторический источник.
федорова н л,Федорова Наталья Леонидовна,sanskritology,0.60,manual_title_review,«Метод кодировки чисел в трудах индийского математика Арьябхаты»,"Арьябхата писал на санскрите; доклад по истории точных наук, отдельного кода нет — см. D1."
лейтан э з,Лейтан Эдгар Зигфридович,sanskritology,0.95,manual_title_review,«Типология индийских аскетов по санскритским источникам»,Явная опора на санскритские источники.
лейтан э з,Лейтан Эдгар Зигфридович,religious_studies,0.80,manual_title_review,«Типология индийских аскетов по санскритским источникам»,Аскетизм как религиозный институт.
степин а а,Степин А. А.,philosophy,0.80,manual_title_review,«Онтология и сотериология „Ананда-сутр“ П.Р. Саркара»,Онтология и сотериология.
степин а а,Степин А. А.,religious_studies,0.80,manual_title_review,«Онтология и сотериология „Ананда-сутр“ П.Р. Саркара»,П. Р. Саркар — основатель Ананда Марги; религиозное движение.
карышева и а,Карышева Ирина Александровна,religious_studies,0.60,manual_title_review,«Индийские гана в зеркале китайских гуа»,Сопоставление индийских и китайских символических систем; уверенность понижена.
шереметьев д а,Д. А. Шереметьев,art_studies,0.90,manual_title_review,«Тальварная рукоять и ее символика»,Тальвар — индийская сабля; разбор формы и символики рукояти.
калина а э,Калина А. Э.,new_indo_aryan,0.90,manual_title_review,«Образы тигра и рыбы в бенгальской фразеологии»,Бенгальская фразеология.
анохина е,Е. Анохина,sanskritology,0.85,manual_title_review,«К проблеме „тривадрумского цикла“»,"Тривандрамский цикл — санскритские пьесы, приписываемые Бхасе."
анохина е,Е. Анохина,literature,0.70,manual_title_review,«К проблеме „тривадрумского цикла“»,Драматургический корпус.
соколова и а,Соколова Ирина Александровна,new_indo_aryan,0.90,manual_title_review,«Пословицы и поговорки Индии и России… (проектная деятельность на уроках языка хинди)»,Материал на хинди.
аникеева е н,Е. Н. Аникеева,philosophy,0.85,manual_title_review,«Концепт Ишвары в „Бхагавадгите“»,Философский концепт Ишвары.
аникеева е н,Е. Н. Аникеева,sanskritology,0.70,manual_title_review,«Концепт Ишвары в „Бхагавадгите“»,«Бхагавадгита» — санскритский текст.
рожнова д а,Рожнова Дарья Антоновна,art_studies,0.90,manual_title_review,«Морфология деревянной храмовой архитектуры Химачал-Прадеша (Индия)»,Храмовая архитектура.
лебедев г с,Лебедев Герасим Степанович,new_indo_aryan,0.70,manual_biographical,Автор первой в России грамматики смешанных индийских наречий (бенгали/хиндустани).,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
лебедев г с,Лебедев Герасим Степанович,history_of_indology,0.80,manual_biographical,"«Русский индолог, лингвист» — зачинатель русской индологии.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
ленц р х,Ленц Роберт Христианович,sanskritology,0.85,manual_biographical,"«Российский востоковед, индолог и санскритолог».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
коссович к а,Коссович Каэтан Андреевич,sanskritology,0.80,manual_biographical,"Востоковед, занимал первую кафедру санскрита в Петербургском университете.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
петров п я,Петров Павел Яковлевич,sanskritology,0.85,manual_biographical,"«Российский востоковед-индолог», заслуженный профессор санскрита Московского университета.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
бётлингк о н,Бётлингк Оттон Николаевич,sanskritology,0.95,manual_biographical,«Немецкий и русский индолог и санскритолог»; Санкт-Петербургский санскритский словарь.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
васильев в п,Васильев Василий Павлович,buddhology,0.80,manual_biographical,"«Синолог, буддолог и санскритолог»; академик.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
минаев и п,Минаев Иван Павлович,buddhology,0.85,manual_biographical,"«Востоковед, индолог, буддолог».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
минаев и п,Минаев Иван Павлович,history_of_indology,0.85,manual_biographical,«Основатель русской индологической школы».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
миллер в ф,Миллер Всеволод Фёдорович,ethnography,0.80,manual_biographical,"«Фольклорист, этнограф, лингвист и археолог».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
миллер в ф,Миллер Всеволод Фёдорович,linguistics,0.60,manual_biographical,Историческая фонетика и языкознание.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
овсянико-куликовский д н,Овсянико-Куликовский Дмитрий Николаевич,sanskritology,0.70,manual_biographical,Ранние труды — ведийская обрядность и культ Сомы.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
овсянико-куликовский д н,Овсянико-Куликовский Дмитрий Николаевич,linguistics,0.60,manual_biographical,«Литературовед и лингвист».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
ольденбург с ф,Ольденбург Сергей Фёдорович,buddhology,0.85,manual_biographical,Буддийские штудии; редактор «Bibliotheca Buddhica».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
ольденбург с ф,Ольденбург Сергей Фёдорович,history_of_indology,0.80,manual_biographical,«Один из основателей русской индологической школы».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
щербатской ф и,Щербатской Фёдор Ипполитович,buddhology,0.95,manual_biographical,«Один из основателей русской школы буддологии».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
сталь-фон-гольштейн а а,Сталь-фон-Гольштейн Александр Августович,buddhology,0.80,manual_biographical,«Специалист по санскриту и буддийским текстам».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
сталь-фон-гольштейн а а,Сталь-фон-Гольштейн Александр Августович,sanskritology,0.70,manual_biographical,Санскритские источники.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
мерварт а м,Мерварт Александр Михайлович,dravidology,0.85,manual_biographical,«Первый русский дравидолог».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
мерварт а м,Мерварт Александр Михайлович,ethnography,0.70,manual_biographical,«Российский этнограф и лингвист».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
баранников а п,Баранников Алексей Петрович,new_indo_aryan,0.90,manual_biographical,«Основатель школы изучения современных индийских языков в СССР».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
смирнов б л,Смирнов Борис Леонидович,sanskritology,0.85,manual_biographical,"Санскритолог, переводчик философских текстов «Махабхараты».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
тюляев с и,Тюляев Семён Иванович,art_studies,0.90,manual_biographical,"«Искусствовед и индолог, исследователь искусства древней Индии».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
обермиллер е е,Обермиллер Евгений Евгеньевич,buddhology,0.85,manual_biographical,"«Востоковед, тибетолог, санскритолог и буддолог».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
обермиллер е е,Обермиллер Евгений Евгеньевич,tibetology,0.75,manual_biographical,Переводы буддийских текстов с тибетского.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
востриков а и,Востриков Андрей Иванович,tibetology,0.80,manual_biographical,Исследователь тибетской исторической литературы; «Тибетская историческая литература».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
рерих ю н,Рерих Юрий Николаевич,tibetology,0.85,manual_biographical,"«Специалист по языку и культуре Тибета», диалектология тибетского.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
ульяновский р а,Ульяновский Ростислав Александрович,history_archaeology,0.60,manual_biographical,"«Востоковед-индолог», труды по новой и новейшей истории Индии.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
кальянов в и,Кальянов Владимир Иванович,sanskritology,0.85,manual_biographical,"«Советский индолог, переводчик „Махабхараты“».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
антонова к а,Антонова Кока Александровна,history_archaeology,0.85,manual_biographical,«Историк-индолог; труды по истории Индии в Средние века и Новое время».,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
бродов в в,Бродов Василий Васильевич,philosophy,0.85,manual_biographical,"«Философ, учёный-индолог»; исследователь индийской философии и йоги.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
гусева н р,Гусева Наталья Романовна,ethnography,0.85,manual_biographical,"«Индолог, историк, этнограф».","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
макаев э а,Макаев Энвер Ахмедович,linguistics,0.80,manual_biographical,«Лингвист»; труды по индоарийским и индоевропейским языкам.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
серебряков и д,Серебряков Игорь Дмитриевич,sanskritology,0.80,manual_biographical,"«Индолог-санскритолог», переводчик санскрита.","Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
серебряков и д,Серебряков Игорь Дмитриевич,new_indo_aryan,0.60,manual_biographical,Переводы с хинди и панджаби.,"Историческая фигура (H484): дисциплина установлена по биографии, не по докладам — их нет."
маевский викентий,Маевский Викентий,sanskritology,0.70,manual_biographical,поле деятельности на Wikidata: санскрит (P101=Q11059); один из первых санскритологов Российской империи (Виленский университет).,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
маевский викентий,Маевский Викентий,history_of_indology,0.65,manual_biographical,один из первых преподавателей санскрита в Российской империи (нач. XIX в.).,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
болензен ф ф,Болензен Фёдор Фёдорович,sanskritology,0.80,manual_biographical,occupation=indologist (Q18524037) на Wikidata; соредактор ведийских текстов вместе с Бётлингком.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
болензен ф ф,Болензен Фёдор Фёдорович,history_of_indology,0.70,manual_biographical,работал в Санкт-Петербурге в кругу Бётлингка над санскритской лексикографией.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
шифнер а а,Шифнер Антон Антонович,tibetology,0.85,manual_biographical,"«филолог, востоковед широкого профиля»; occupation=tibetologist (Q1864603) на Wikidata; сотрудник Азиатского музея.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
шифнер а а,Шифнер Антон Антонович,buddhology,0.60,manual_biographical,"переводы тибетских буддийских текстов, преемственность с петербургской буддологической школой.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
кудрявский д н,Кудрявский Дмитрий Николаевич,history_of_indology,0.85,manual_biographical,"«русский лингвист, религиовед, историк-индолог» — прямая формулировка Wikidata.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
кудрявский д н,Кудрявский Дмитрий Николаевич,linguistics,0.70,manual_biographical,"«русский лингвист» — сравнительное языкознание, Дерптский университет.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
кнауэр ф и,Кнауэр Фёдор Иванович,sanskritology,0.90,manual_biographical,«российский санскритолог» — прямая формулировка Wikidata; издатель Каушика-сутры.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
кнауэр ф и,Кнауэр Фёдор Иванович,history_of_indology,0.70,manual_biographical,преподавал санскрит в университете Св. Владимира (Киев) — институциональная история индологии вне столиц.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
шрёдер леопольд фон,Шрёдер Леопольд фон,sanskritology,0.75,manual_biographical,"«German indologist» (Wikidata); работы по Ригведе и ведийской религии, учился в Дерптском университете (Российская империя).","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
шрёдер леопольд фон,Шрёдер Леопольд фон,history_of_indology,0.60,manual_biographical,образование получено в Дерпте — часть остзейской ветви индологии Российской империи.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
цыбиков г ц,Цыбиков Гомбожаб Цэбекович,tibetology,0.85,manual_biographical,"«исследователь, этнограф, востоковед»; occupation=tibetologist (Q1864603); первым сфотографировал Лхасу.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
цыбиков г ц,Цыбиков Гомбожаб Цэбекович,ethnography,0.70,manual_biographical,occupation=этнолог/путешественник-исследователь на Wikidata.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
розенберг о о,Розенберг Оттон Оттонович,buddhology,0.90,manual_biographical,"occupation=buddhologist (Q100851212) на Wikidata; автор «Проблем буддийской философии», ученик Щербатского.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
розенберг о о,Розенберг Оттон Оттонович,philosophy,0.65,manual_biographical,автор монографии по буддийской философии.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
калинович м я,Калинович Михаил Яковлевич,sanskritology,0.65,manual_biographical,occupation=indologist (Q18524037) на Wikidata; переводил санскритские тексты на украинский язык.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
калинович м я,Калинович Михаил Яковлевич,linguistics,0.75,manual_biographical,«украинский лингвист и филолог» — прямая формулировка Wikidata.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
дьяков а м,Дьяков Алексей Михайлович,history_archaeology,0.75,manual_biographical,«историк-индолог» — прямая формулировка Wikidata; специалист по новой и новейшей истории Индии.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
дьяков а м,Дьяков Алексей Михайлович,history_of_indology,0.65,manual_biographical,многолетний сотрудник Института востоковедения АН СССР.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
клягина-кондратьева м и,Клягина-Кондратьева Мелитина Ивановна,sanskritology,0.65,manual_biographical,поле деятельности на Wikidata: индология (P101=Q625510); переводчица санскритской классики (Калидаса) на русский язык.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
клягина-кондратьева м и,Клягина-Кондратьева Мелитина Ивановна,literature,0.60,manual_biographical,переводы санскритской художественной литературы — литературоведческий фасет.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
бескровный в м,Бескровный Василий Матвеевич,sanskritology,0.85,manual_biographical,"«Soviet indologist» (Wikidata); переводчик Калидасы, сотрудник Ленинградского восточного института.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
бескровный в м,Бескровный Василий Матвеевич,literature,0.60,manual_biographical,переводы санскритской драмы (Калидаса) на русский язык.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
дандарон б д,Дандарон Бидия Дандарович,buddhology,0.80,manual_biographical,«Russian Buddhist writer and Tibetan studies scholar» (Wikidata).,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
дандарон б д,Дандарон Бидия Дандарович,tibetology,0.75,manual_biographical,occupation=tibetologist (Q1864603) на Wikidata; исследователь тибетского буддизма.,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
ильин г ф,Ильин Григорий Фёдорович,history_archaeology,0.80,manual_biographical,"историк, сотрудник Института востоковедения АН СССР; автор работ по истории Древней Индии.","Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
ильин г ф,Ильин Григорий Фёдорович,religious_studies,0.65,manual_biographical,автор монографии «Религии Древней Индии».,"Историческая фигура (транш 27-40, H5389 What-is-left): дисциплина установлена по биографии/полю деятельности на Wikidata, не по докладам — их нет."
